session,filename,song_id,variant,mode,c1,c2,hue,brightness,warmth,timestamp
7e22ddaa-d25b-43d1-b160-a0ec21d98f1d,wallpaper_1.jpg,,1,dual-radial,#74af94,#bfd5a4,88,0.84,neutral,2025-05-22T11:06:22.840764
7e22ddaa-d25b-43d1-b160-a0ec21d98f1d,wallpaper_2.jpg,,2,angular,#426ba3,#bfd5a4,88,0.84,neutral,2025-05-22T11:06:23.614768
7e22ddaa-d25b-43d1-b160-a0ec21d98f1d,wallpaper_3.jpg,,3,diagonal,#74af94,#6c796d,88,0.84,neutral,2025-05-22T11:06:23.777092
45760d0d-e9cd-4519-a7a8-c603936996f7,wallpaper_1.jpg,,1,angular,#426ba3,#6c796d,88,0.84,neutral,2025-05-22T11:06:28.800749
45760d0d-e9cd-4519-a7a8-c603936996f7,wallpaper_2.jpg,,2,dual-radial,#1c2030,#bfd5a4,88,0.84,neutral,2025-05-22T11:06:29.641133
45760d0d-e9cd-4519-a7a8-c603936996f7,wallpaper_3.jpg,,3,diagonal,#426ba3,#74af94,88,0.84,neutral,2025-05-22T11:06:29.708767
5a383b89-590f-4521-bc36-e20b542720f0,wallpaper_1.jpg,,1,diagonal,#9c8494,#426ba3,88,0.84,neutral,2025-05-22T11:07:16.334662
5a383b89-590f-4521-bc36-e20b542720f0,wallpaper_2.jpg,,2,radial,#1c2030,#426ba3,88,0.84,neutral,2025-05-22T11:07:16.398397
5a383b89-590f-4521-bc36-e20b542720f0,wallpaper_3.jpg,,3,linear,#426ba3,#6c796d,88,0.84,neutral,2025-05-22T11:07:16.462303
220abb9d-2d1e-4c5c-a419-fdd8f39deeb0,wallpaper_1.jpg,,1,diagonal,#426ba3,#74af94,88,0.84,neutral,2025-05-22T11:07:47.986296
220abb9d-2d1e-4c5c-a419-fdd8f39deeb0,wallpaper_2.jpg,,2,radial,#9c8494,#74af94,88,0.84,neutral,2025-05-22T11:07:48.176355
220abb9d-2d1e-4c5c-a419-fdd8f39deeb0,wallpaper_3.jpg,,3,radial,#426ba3,#9c8494,88,0.84,neutral,2025-05-22T11:07:48.387670
5b56e60d-8bab-4154-97d6-147390050a18,wallpaper_1.jpg,,1,radial,#231c18,#849c91,25,0.81,warm,2025-05-22T11:09:39.068636
5b56e60d-8bab-4154-97d6-147390050a18,wallpaper_2.jpg,,2,linear,#231c18,#849c91,25,0.81,warm,2025-05-22T11:09:39.269355
5b56e60d-8bab-4154-97d6-147390050a18,wallpaper_3.jpg,,3,linear,#6f7d94,#231c18,25,0.81,warm,2025-05-22T11:09:39.476913
504b63f7-7b82-4f71-91b5-b94cb8fea36a,wallpaper_1.jpg,,1,linear,#8f4163,#081b21,326,0.74,warm,2025-05-22T11:11:03.391033
504b63f7-7b82-4f71-91b5-b94cb8fea36a,wallpaper_2.jpg,,2,angular,#b4ced6,#63bad1,326,0.74,warm,2025-05-22T11:11:04.138504
504b63f7-7b82-4f71-91b5-b94cb8fea36a,wallpaper_3.jpg,,3,dual-radial,#8f4163,#081b21,326,0.74,warm,2025-05-22T11:11:05.008474
236a6206-12f5-4e6f-ad96-cf5e0b05f134,wallpaper_1.jpg,,1,diagonal,#c97580,#b4ced6,326,0.74,warm,2025-05-22T11:11:29.697442
236a6206-12f5-4e6f-ad96-cf5e0b05f134,wallpaper_2.jpg,,2,angular,#63bad1,#b4ced6,326,0.74,warm,2025-05-22T11:11:30.390580
236a6206-12f5-4e6f-ad96-cf5e0b05f134,wallpaper_3.jpg,,3,dual-radial,#b4ced6,#081b21,326,0.74,warm,2025-05-22T11:11:31.375470
a66ecd4c-303e-40b7-915d-2c677a2291b6,wallpaper_1.jpg,,1,linear,#bbbeb2,#988640,70,0.74,neutral,2025-05-22T11:13:53.398059
a66ecd4c-303e-40b7-915d-2c677a2291b6,wallpaper_2.jpg,,2,linear,#304a68,#6f98b7,70,0.74,neutral,2025-05-22T11:13:53.589986
a66ecd4c-303e-40b7-915d-2c677a2291b6,wallpaper_3.jpg,,3,angular,#6f98b7,#988640,70,0.74,neutral,2025-05-22T11:13:54.276485
46e6a8ea-8363-4753-8579-864ba99fae88,wallpaper_1.jpg,,1,dual-radial,#604d17,#bbbeb2,70,0.74,neutral,2025-05-22T11:14:02.354726
